internal_ID,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_KLQ,in_D22,in_L22,Grade_by_D22,Classification_by_L22,q,phi,rein,minimised_chi2,BIC,NOTE
10627289,121.598777,20.10888483,0.98,0.86,0.743429107,0.743428751,0.743428929,A,A,4,1,0,0,,,,,,,,
10629534,152.0164316,19.73709121,0.98,0.81,1.268133761,1.268133761,1.268133761,A,A,2,0,1,0,A,,,,,,,
10630785,231.8841497,19.55586524,0.96,0.92,0.846095298,0.846094852,0.846095075,B,B,2,0,0,0,,,,,,,,
10631246,332.8764114,19.48683479,0.91,0.71,5.521439363,2.569665999,3.707032491,A,C,2,1,0,0,,,,,,,,
10631375,5.493797547,19.46455725,0.95,0.91,2.888634393,2.888634393,2.888634393,B,A,2,0,1,1,B,projected QSOs,,,,,,
10631673,142.9932023,19.41010035,0.86,0.64,0.963318931,0.963318931,0.963318931,A,C,2,0,0,0,,,,,,,,
10634494,144.1212349,18.9575334,0.98,0.89,3.188321942,3.188321942,3.188321942,C,B,2,0,0,0,,,,,,,,
10634811,268.7439434,18.90215422,0.9,0.85,3.532428297,3.532428297,3.532428297,B,C,2,0,0,0,,,0.809,-31.141,1.962,8.33E-07,10.75055848,obvious lens
10643056,263.0827154,17.64549626,0.97,0.65,8.4575204,2.891320945,5.674420673,C,C,3,0,1,0,C,,,,,,,
10644495,219.5841219,17.41242624,0.98,0.56,3.403702413,3.403702413,3.403702413,B,B,2,0,0,0,,,,,,,,
10644599,344.0099255,17.39413025,0.98,0.65,1.719426076,1.719426076,1.719426076,B,C,2,0,0,0,,,,,,,,
10645106,139.2104153,17.31112743,0.95,0.91,3.484433075,3.484433075,3.484433075,C,C,2,0,0,0,,,0.911,-75.593,1.842,9.77E-07,10.75055877,obvious lens
10645647,158.7542931,17.21958835,0.95,0.71,2.237021264,2.237021264,2.237021264,A,A,2,0,0,0,,,,,,,,
10711631,214.319965,15.23151314,0.89,0.64,2.838670499,2.838670499,2.838670499,B,A,2,0,0,0,,,,,,,,
10719174,352.150798,14.08264699,0.97,0.53,0.962048434,0.962048434,0.962048434,B,C,2,0,0,0,,,,,,,,
10721197,116.6481583,13.74017205,0.95,0.86,2.436938139,2.436938139,2.436938139,A,A,2,0,1,0,C,,,,,,,
10723968,264.4153946,13.26466164,0.92,0.84,5.130931608,5.130931608,5.130931608,C,B,2,0,0,0,,,0.855,-37.959,2.438,660.9006353,1332.551827,obvious lens
10724011,338.1645796,13.25513506,0.97,0.75,1.021452243,1.021452243,1.021452243,B,C,2,0,0,0,,,,,,,,
10725123,114.0105475,13.07086611,0.98,0.59,0.802355178,0.802355178,0.802355178,A,C,2,0,0,0,,,,,,,,
10727019,141.8011299,12.75029411,0.99,0.72,2.247209419,2.247208861,2.24720914,B,B,2,0,0,0,,,,,,,,
10728091,339.3070872,12.59250807,0.94,0.71,3.773913523,3.773913523,3.773913523,B,A,2,0,0,0,,,,,,,,
10728924,207.3743594,12.45193306,0.99,0.67,1.505435014,1.505434092,1.505434553,A,A,2,1,0,0,,,,,,,,
10731265,211.9159192,12.06901398,0.97,0.55,2.087329617,2.087329617,2.087329617,B,B,2,0,1,0,C,,,,,,,
10733907,208.2764687,11.63469731,1,0.91,0.695458267,0.695458252,0.695458259,A,B,2,1,0,0,,,,,,,,
